case_id,event_position,name,timestamp,org:group,org:resource,resource country,anomaly,isAnomaly
1-443175071,0,Accepted+In Progress,18:05.0,Org line G4,Katarina,Sweden,Normal,0
1-427955007,2,Accepted+In Progress,48:18.0,Org line G4,Roland,Sweden,Normal,0
1-433910332,3,Accepted+In Progress,48:20.0,Org line A2,Ian,United Kingdom,Normal,0
1-473084325,0,Queued+Awaiting Assignment,33:47.0,Org line C,Martin,Sweden,Normal,0
1-479002951,0,Accepted+In Progress,21:41.0,Org line G4,Per,Sweden,Normal,0
1-489198755,0,Accepted+In Progress,10:53.0,Org line G4,Katarina,Sweden,Normal,0
1-498324124,0,Accepted+In Progress,40:03.0,Org line A2,Michal,POLAND,Normal,0
1-498324124,1,Accepted+Assigned,13:53.0,Org line A2,Michal,POLAND,Normal,0
1-502769178,0,Accepted+In Progress,45:04.0,Org line G4,Joakim,Sweden,Normal,0
1-502769178,1,Accepted+In Progress,52:29.0,Org line G4,Joakim,Sweden,Normal,0
1-506092586,0,Accepted+In Progress,36:20.0,Org line G4,Per,Sweden,Normal,0
1-384097130,0,Accepted+Assigned,02:06.0,Org line C,Jonas,Sweden,Normal,0
1-479002951,1,Accepted+Wait,11:06.0,Org line G4,Per,Sweden,Normal,0
1-507679771,0,Accepted+In Progress,04:30.0,Org line G4,Katarina,Sweden,Normal,0
1-430880486,1,Accepted+Wait,11:52.0,Org line G4,Katarina,Sweden,Normal,0
1-489198755,1,Accepted+Wait,26:55.0,Org line G4,Katarina,Sweden,Normal,0
1-443175071,1,Accepted+Wait,30:18.0,Org line G4,Katarina,Sweden,Normal,0
1-510399424,0,Accepted+In Progress,21:36.0,Org line A2,Timothy,United Kingdom,Normal,0
1-384097130,1,Accepted+In Progress,44:20.0,Org line C,Jonas,Sweden,Normal,0
1-433910332,4,Accepted+Wait,34:29.0,Org line A2,Ian,United Kingdom,Normal,0
1-512617571,0,Accepted+In Progress,48:35.0,Org line A2,Ian,United Kingdom,Normal,0
1-512617571,1,Accepted+Assigned,49:23.0,Org line A2,Ian,United Kingdom,Normal,0
1-513031774,0,Accepted+In Progress,39:04.0,Org line G4,Roland,Sweden,Normal,0
1-433910332,5,Accepted+In Progress,16:21.0,Org line A2,Ian,United Kingdom,Normal,0
1-514618724,0,Accepted+In Progress,57:43.0,Org line C,Mikael,Sweden,Normal,0
1-514618724,1,Accepted+Wait,18:36.0,Org line C,Mikael,Sweden,Normal,0
1-515461174,1,Accepted+In Progress,56:28.0,Org line G4,Roland,Sweden,Late,1
1-384097130,2,Accepted+Wait,23:07.0,Org line C,Jonas,Sweden,Normal,0
1-498324124,2,Accepted+Assigned,41:04.0,Org line A2,Michal,POLAND,Normal,0
1-520127960,0,Accepted+In Progress,46:33.0,Org line G4,Per,Sweden,Normal,0
1-520127960,1,Accepted+Assigned,48:34.0,Org line G4,Per,Sweden,Normal,0
1-520705880,0,Accepted+In Progress,44:41.0,Org line A2,Tomas,Sweden,Normal,0
1-427955007,3,Accepted+Wait,46:03.0,Org line G4,Roland,Sweden,Normal,0
1-522222222,0,Accepted+In Progress,45:31.0,Org line G4,Erik,Sweden,Normal,0
1-522460624,0,Accepted+In Progress,29:33.0,Org line C,Jonas,Sweden,Normal,0
1-522460624,1,Queued+Awaiting Assignment,31:51.0,Org line C,Jonas,Sweden,Normal,0
1-502769178,2,Accepted+Wait,05:50.0,Org line G4,Joakim,Sweden,Normal,0
1-522949376,0,Accepted+In Progress,53:03.0,Org line A2,Arun,INDIA,Normal,0
1-525589021,0,Accepted+In Progress,23:13.0,Org line G4,Katarina,Sweden,Normal,0
1-526037041,0,Accepted+In Progress,09:56.0,Org line G4,Katarina,Sweden,Normal,0
1-522949376,1,Queued+Awaiting Assignment,42:40.0,Org line A2,Arun,INDIA,Normal,0
1-527208576,0,Accepted+In Progress,28:42.0,Org line G4,Roland,Sweden,Normal,0
1-531872604,0,Accepted+In Progress,21:06.0,Org line C,Jonas,Sweden,Normal,0
1-531872604,1,Accepted+Wait,12:31.0,Org line C,Jonas,Sweden,Normal,0
1-360464815,2,Accepted+In Progress,37:15.0,Org line A2,Panigrahy,Sweden,Normal,0
1-534493180,0,Accepted+In Progress,24:42.0,Org line A2,Ian,United Kingdom,Normal,0
1-534493180,1,Accepted+Assigned,25:34.0,Org line A2,Ian,United Kingdom,Normal,0
1-406066421,0,Accepted+In Progress,16:19.0,Org line C,Kenneth,Sweden,Normal,0
1-535439201,0,Accepted+In Progress,23:47.0,Org line C,Lars,Sweden,Normal,0
1-535439201,1,Accepted+Wait,44:50.0,Org line C,Lars,Sweden,Normal,0
1-535418135,0,Accepted+In Progress,01:27.0,Org line A2,Michal,POLAND,Normal,0
1-433910332,6,Accepted+Assigned,04:50.0,Org line A2,Ian,United Kingdom,Normal,0
1-375644051,2,Accepted+In Progress,13:19.0,Org line C,Sumesh,0,Normal,0
1-531872604,2,Queued+Awaiting Assignment,19:59.0,Org line C,Jonas,Sweden,Normal,0
1-404736991,4,Accepted+In Progress,22:26.0,Org line B,Rijin,INDIA,Normal,0
1-404736991,5,Accepted+Wait,08:45.0,Org line B,Rijin,INDIA,Normal,0
1-539000895,0,Accepted+In Progress,24:39.0,Org line C,Jonas,Sweden,Normal,0
1-539083171,0,Accepted+In Progress,33:46.0,Org line G4,Katarina,Sweden,Normal,0
1-539805130,0,Accepted+In Progress,45:46.0,Org line A2,Andrew,United Kingdom,Normal,0
1-537169872,0,Accepted+Assigned,28:19.0,Org line C,Daniel,Sweden,Normal,0
1-542027112,0,Accepted+In Progress,45:13.0,Org line A2,Ian,United Kingdom,Normal,0
1-542027112,1,Accepted+In Progress,48:49.0,Org line A2,Ian,United Kingdom,Normal,0
1-542027112,2,Accepted+Assigned,55:27.0,Org line A2,Ian,United Kingdom,Normal,0
1-542919207,0,Accepted+In Progress,56:05.0,Org line C,Cyril,France,Normal,0
1-542919207,1,Queued+Awaiting Assignment,03:11.0,Org line C,Cyril,France,Normal,0
1-542940765,0,Accepted+In Progress,23:23.0,Org line A2,Fredrik,USA,Normal,0
1-543300099,1,Accepted+In Progress,47:13.0,Org line A2,Ian,United Kingdom,Early,1
1-543300099,0,Accepted+Assigned,39:06.0,Org line A2,Ian,United Kingdom,Early,1
1-535418135,1,Accepted+Wait,22:47.0,Org line A2,Michal,POLAND,Normal,0
1-535418135,2,Accepted+Wait,24:26.0,Org line A2,Michal,POLAND,Normal,0
1-545738536,0,Accepted+In Progress,08:01.0,Org line A2,Tomas,Sweden,Normal,0
1-545738536,1,Accepted+Assigned,12:59.0,Org line A2,Tomas,Sweden,Normal,0
1-546838031,0,Queued+Awaiting Assignment,46:45.0,Org line C,Tomas,Sweden,Normal,0
1-547617088,0,Accepted+In Progress,47:08.0,Org line A2,Ian,United Kingdom,Normal,0
1-547617088,2,Accepted+Assigned,04:12.0,Org line A2,Ian,United Kingdom,Late,1
1-546838031,1,Queued+Awaiting Assignment,51:34.0,Org line C,Tomas,Sweden,Normal,0
1-549431982,0,Accepted+In Progress,56:32.0,Org line D,Valter,Sweden,Attribute,1
1-549431982,1,Queued+Awaiting Assignment,00:02.0,Org line F,Craig,Sweden,Attribute,1
1-545911672,1,Queued+Awaiting Assignment,08:23.0,Org line G4,Fredrik,Sweden,Early,1
1-550611848,0,Accepted+In Progress,45:30.0,Org line G4,Bharath,Sweden,Normal,0
1-512617571,2,Accepted+Assigned,05:34.0,Org line A2,Andrew,United Kingdom,Normal,0
1-512617571,3,Accepted+In Progress,27:15.0,Org line A2,Andrew,United Kingdom,Normal,0
1-560404489,0,Accepted+In Progress,23:57.0,Org line C,Praveen,Sweden,Normal,0
1-560404489,1,Queued+Awaiting Assignment,29:58.0,Org line C,Praveen,Sweden,Normal,0
1-560404489,2,Queued+Awaiting Assignment,53:33.0,Org line C,Martin,Sweden,Normal,0
1-560404489,3,Accepted+In Progress,17:21.0,Org line C,Steve,Sweden,Normal,0
1-547617088,1,Accepted+Assigned,28:02.0,Org line A2,Andrew,United Kingdom,Late,1
1-547617088,3,Accepted+Wait,29:30.0,Org line A2,Andrew,United Kingdom,Late,1
1-560404489,4,Accepted+Wait,19:04.0,Org line C,Steve,Sweden,Normal,0
1-367921041,0,Queued+Awaiting Assignment,27:17.0,Org line B,Srinivasan,INDIA,Normal,0
1-367921041,1,Accepted+In Progress,54:38.0,Org line B,Aneesh V,INDIA,Normal,0
1-367921041,2,Accepted+Assigned,55:29.0,Org line B,Rijin,INDIA,Normal,0
1-367921041,3,Accepted+In Progress,48:47.0,Org line B,Rijin,INDIA,Normal,0
1-563779807,0,Accepted+Assigned,38:53.0,Org line A2,Ian,United Kingdom,SkipSequence,1
1-564738994,0,Accepted+In Progress,45:43.0,Org line B,Murali,INDIA,Normal,0
1-564738994,1,Accepted+Wait,46:56.0,Org line B,Murali,INDIA,Normal,0
1-566096602,0,Accepted+In Progress,35:37.0,Org line D,Wim,Belgium,Normal,0
1-545738536,2,Accepted+In Progress,51:36.0,Org line A2,Tomas,Sweden,Normal,0
1-354376900,1,Accepted+In Progress,16:15.0,Org line A2,Tomas,Sweden,Normal,0
1-354350908,1,Accepted+In Progress,16:31.0,Org line A2,Tomas,Sweden,Normal,0
1-345132462,4,Accepted+In Progress,17:47.0,Org line A2,Tomas,Sweden,Normal,0
1-230541365,3,Accepted+In Progress,27:50.0,Org line A2,Tomas,Sweden,Normal,0
1-230541365,4,Accepted+In Progress,27:55.0,Org line A2,Tomas,Sweden,Normal,0
1-566661201,0,Accepted+In Progress,12:56.0,Org line D,Wim,Belgium,Normal,0
1-566661201,1,Accepted+Wait,20:41.0,Org line D,Wim,Belgium,Normal,0
1-147898401,3,Accepted+In Progress,09:09.0,Org line A2,Tomas,Sweden,Normal,0
1-165554831,2,Accepted+In Progress,10:53.0,Org line A2,Tomas,Sweden,Normal,0
1-172473423,2,Accepted+In Progress,10:59.0,Org line A2,Tomas,Sweden,Normal,0
1-382209384,1,Accepted+In Progress,46:51.0,Org line A2,Tomas,Sweden,Normal,0
1-360072755,1,Accepted+In Progress,49:00.0,Org line A2,Tomas,Sweden,Normal,0
1-236817141,3,Accepted+In Progress,02:11.0,Org line A2,Tomas,Sweden,Normal,0
1-182640781,3,Accepted+In Progress,24:13.0,Org line A2,Niklas,Sweden,Normal,0
1-359841262,7,Accepted+In Progress,28:42.0,Org line A2,Tomas,Sweden,Normal,0
1-363206822,3,Accepted+In Progress,28:50.0,Org line A2,Tomas,Sweden,Normal,0
1-502769178,3,Queued+Awaiting Assignment,10:57.0,Org line G4,Joakim,Sweden,Normal,0
1-537169872,1,Queued+Awaiting Assignment,14:45.0,Org line G4,Joakim,Sweden,Normal,0
1-415000020,2,Accepted+In Progress,19:39.0,Org line C,Anna,Sweden,Normal,0
1-415000020,3,Accepted+Wait,19:45.0,Org line C,Anna,Sweden,Normal,0
1-572078531,0,Accepted+In Progress,39:42.0,Org line C,Inger,Sweden,Normal,0
1-572078531,3,Queued+Awaiting Assignment,52:27.0,Org line C,Inger,Sweden,Rework,1
1-572078531,1,Queued+Awaiting Assignment,52:27.0,Org line C,Inger,Sweden,Normal,0
1-563779807,1,Accepted+In Progress,16:42.0,Org line A2,Ian,United Kingdom,SkipSequence,1
1-543300099,2,Accepted+In Progress,17:02.0,Org line A2,Ian,United Kingdom,Early,1
1-542027112,3,Accepted+In Progress,17:31.0,Org line A2,Ian,United Kingdom,Normal,0
1-572078531,4,Accepted+In Progress,50:43.0,Org line A2,Frederic,France,Rework,1
1-572078531,2,Accepted+In Progress,50:43.0,Org line A2,Frederic,France,Normal,0
1-573830584,0,Accepted+In Progress,40:50.0,Org line C,Per,Sweden,Normal,0
1-473084325,1,Queued+Awaiting Assignment,53:00.0,Org line C,Olivier,France,Normal,0
1-574222268,0,Accepted+In Progress,33:52.0,Org line G4,David,Sweden,Normal,0
1-574623837,0,Accepted+In Progress,59:18.0,Org line A2,Radoslaw,POLAND,Normal,0
1-473084325,2,Queued+Awaiting Assignment,27:06.0,Org line C,Olivier,France,Normal,0
1-575690736,0,Accepted+In Progress,44:47.0,Org line D,Wim,Belgium,Normal,0
1-575690736,1,Accepted+In Progress,06:13.0,Org line D,Wim,Belgium,Normal,0
1-575690736,2,Accepted+In Progress,44:31.0,Org line D,Wim,Belgium,Normal,0
1-563779807,2,Accepted+Wait,38:15.0,Org line A2,Ian,United Kingdom,SkipSequence,1
1-577996886,0,Accepted+In Progress,53:16.0,Org line G4,Ing-Marie,Sweden,Normal,0
1-578105842,1,Accepted+In Progress,38:17.0,Org line C,Robert,USA,Early,1
1-578105842,0,Queued+Awaiting Assignment,41:46.0,Org line C,Robert,USA,Early,1
1-578252937,0,Accepted+In Progress,03:45.0,Org line C,Lars-Ove,Sweden,Normal,0
1-578105842,2,Queued+Awaiting Assignment,11:27.0,Org line C,Robert,USA,Early,1
1-578612990,0,Accepted+In Progress,10:15.0,Org line C,Peter,Belgium,Normal,0
1-578612990,1,Accepted+In Progress,11:24.0,Org line C,Peter,Belgium,Normal,0
1-577737791,0,Queued+Awaiting Assignment,32:15.0,Org line C,Robert,USA,Normal,0
1-578612990,2,Queued+Awaiting Assignment,24:51.0,Org line C,Peter,Belgium,Normal,0
1-579250167,0,Accepted+In Progress,22:34.0,Org line C,Hineesh,INDIA,Normal,0
1-579636429,0,Random activity 3,11:41.0,Random_2,Random_2,Random_2,Insert,1
1-579636429,1,Accepted+In Progress,11:41.0,Org line G4,Roland,Sweden,Insert,1
1-580464971,0,Accepted+In Progress,02:40.0,Org line A2,Carlos,Brazil,Normal,0
1-524375607,0,Accepted+Assigned,38:35.0,Org line C,Els,Belgium,Normal,0
1-524375607,1,Accepted+Assigned,03:00.0,Org line C,Jo,Belgium,Normal,0
1-581740771,0,Accepted+In Progress,24:45.0,Org line C,Peter,Sweden,Normal,0
1-542940765,1,Accepted+In Progress,40:23.0,Org line A2,Fredrik,USA,Normal,0
1-542940765,2,Queued+Awaiting Assignment,40:40.0,Org line A2,Fredrik,USA,Normal,0
1-413205820,1,Accepted+In Progress,07:51.0,Org line A2,Fredrik,USA,Normal,0
1-413205820,2,Queued+Awaiting Assignment,07:59.0,Org line A2,Fredrik,USA,Normal,0
1-581898739,0,Accepted+In Progress,09:03.0,Org line C,Ann-Charlotte,Sweden,Normal,0
1-581898739,1,Queued+Awaiting Assignment,22:29.0,Org line C,Ann-Charlotte,Sweden,Normal,0
1-581898739,2,Accepted+In Progress,17:16.0,Org line C,Mats,Sweden,Normal,0
1-581898739,3,Queued+Awaiting Assignment,17:30.0,Org line C,Martin,Sweden,Normal,0
1-582296121,0,Accepted+In Progress,02:06.0,Org line C,Olle,Sweden,Normal,0
1-577996886,1,Queued+Awaiting Assignment,46:24.0,Org line G4,Kjell,Sweden,Attribute,1
1-413205820,3,Accepted+In Progress,05:33.0,Org line A2,Fredrik,USA,Normal,0
1-583931536,0,Accepted+In Progress,38:10.0,Org line C,Richard,Sweden,Normal,0
1-584776062,0,Accepted+In Progress,38:52.0,Org line G4,Samira,Sweden,Normal,0
1-584812041,0,Accepted+In Progress,57:41.0,Org line A2,Ian,United Kingdom,Normal,0
1-584812041,1,Accepted+Assigned,01:05.0,Org line A2,Ian,United Kingdom,Normal,0
1-574623837,1,Accepted+Assigned,02:06.0,Org line A2,Radoslaw,POLAND,Normal,0
1-578612990,3,Accepted+Assigned,29:22.0,Org line C,Jörgen,Sweden,Normal,0
1-587383007,0,Accepted+In Progress,06:14.0,Org line A2,Vikrant,Sweden,Normal,0
1-588543315,0,Accepted+In Progress,05:05.0,Org line A2,Vikrant,Sweden,Normal,0
1-588712865,0,Accepted+In Progress,46:10.0,Org line C,Kymaria,USA,Normal,0
1-588712865,1,Random activity 1,07:44.2,Random_3,Random_3,Random_3,Insert,1
1-588712865,2,Queued+Awaiting Assignment,40:08.0,Org line C,Kymaria,USA,Insert,1
1-588712865,3,Queued+Awaiting Assignment,40:09.0,Org line C,Kymaria,USA,Insert,1
1-588712865,4,Accepted+In Progress,39:20.0,Org line C,Kymaria,USA,Insert,1
1-577996886,2,Queued+Awaiting Assignment,00:00.0,Org line G4,Ing-Marie,Sweden,Attribute,1
1-589370341,0,Accepted+In Progress,07:28.0,Org line A2,Agneta,Sweden,Normal,0
1-589370341,1,Accepted+In Progress,07:50.0,Org line A2,Agneta,Sweden,Normal,0
1-589370341,2,Queued+Awaiting Assignment,10:17.0,Org line A2,Agneta,Sweden,Normal,0
1-589421537,0,Accepted+In Progress,37:21.0,Org line C,Nicolas,France,Normal,0
1-588712865,5,Accepted+Wait,49:58.0,Org line C,Kymaria,USA,Insert,1
1-589962550,0,Accepted+In Progress,02:57.0,Org line A2,Stefan,Sweden,Normal,0
1-590574771,0,Queued+Awaiting Assignment,47:58.0,Org line C,Robert,USA,Normal,0
1-590579544,0,Accepted+In Progress,55:35.0,Org line G4,Roland,Sweden,Normal,0
1-590574771,1,Accepted+In Progress,38:25.0,Org line C,Ramith,INDIA,Normal,0
1-372029512,1,Accepted+Wait,21:34.0,Org line C,Tomas,Sweden,Normal,0
1-546838031,2,Accepted+In Progress,52:40.0,Org line C,Tomas,Sweden,Normal,0
