case_id,event_position,name,timestamp,day,user,anomaly,isAnomaly
3980,3,Activity AH,1/1/1970 11:00,Monday,Donald,Normal,0
1841,0,Activity A,1/1/1970 11:00,Wednesday,Gema,Normal,0
2643,0,Activity A,1/1/1970 11:00,Monday,Michaele,Normal,0
5235,4,Activity Z,1/1/1970 11:00,Thursday,Velda,Normal,0
3159,1,Activity N,1/1/1970 11:00,Wednesday,Shandi,Normal,0
8301,0,Activity A,1/1/1970 12:00,Wednesday,Michaele,Normal,0
2746,1,Activity N,1/1/1970 12:00,Thursday,Doretta,Normal,0
357,3,Activity AB,1/1/1970 12:00,Monday,Issac,Normal,0
5914,2,Activity L,1/1/1970 12:00,Monday,Craig,Normal,0
1817,2,Activity K,1/1/1970 12:00,Friday,Emily,Normal,0
4198,1,Activity N,1/1/1970 12:00,Wednesday,Shandi,Normal,0
1218,0,Activity A,1/1/1970 12:00,Monday,Michaele,Normal,0
5304,2,Activity AG,1/1/1970 12:00,Thursday,Alpha,Normal,0
6099,1,Activity A,1/1/1970 12:00,Wednesday,Gema,Late,1
4539,5,Activity B,1/1/1970 13:00,Tuesday,Roseanne,Normal,0
2471,0,Activity A,1/1/1970 13:00,Monday,Michaele,Normal,0
3159,2,Activity AE,1/1/1970 13:00,Thursday,Issac,Normal,0
2643,1,Activity N,1/1/1970 13:00,Thursday,Amanda,Normal,0
3444,4,Activity Z,1/1/1970 13:00,Tuesday,Jack,Normal,0
5235,5,Activity O,1/1/1970 13:00,Tuesday,Hugo,Normal,0
7190,3,Activity D,1/1/1970 13:00,Tuesday,Hoyt,Normal,0
8972,5,Activity O,1/1/1970 13:00,Wednesday,Earl,Insert,1
2345,4,Activity B,1/1/1970 13:00,Friday,Charles,Normal,0
3980,4,Activity O,1/1/1970 13:00,Tuesday,Craig,Normal,0
1841,1,Activity C,1/1/1970 13:00,Monday,Sigrid,Attribute,1
5304,3,Activity AH,1/1/1970 14:00,Friday,Donald,Normal,0
2746,2,Activity Y,1/1/1970 14:00,Thursday,Michaele,Normal,0
1218,1,Activity N,1/1/1970 14:00,Wednesday,Charles,Normal,0
4198,2,Activity AE,1/1/1970 14:00,Monday,Issac,Normal,0
6099,2,Activity C,1/1/1970 14:00,Friday,Sandra,Late,1
357,4,Activity Z,1/1/1970 14:00,Friday,Charles,Normal,0
8301,1,Activity N,1/1/1970 14:00,Wednesday,Shandi,Normal,0
5914,3,Activity D,1/1/1970 14:00,Monday,Steve,Normal,0
1817,3,Activity D,1/1/1970 14:00,Monday,Steve,Normal,0
6814,0,Activity A,1/1/1970 15:00,Monday,Michaele,Normal,0
2471,1,Activity N,1/1/1970 15:00,Monday,Lucy,Normal,0
7190,4,Activity B,1/1/1970 15:00,Tuesday,Roseanne,Normal,0
3159,3,Activity AF,1/1/1970 15:00,Friday,Vickie,Normal,0
1841,2,Activity K,1/1/1970 15:00,Monday,Emily,Attribute,1
7001,0,Activity A,1/1/1970 15:00,Wednesday,Gema,Normal,0
3980,5,Activity B,1/1/1970 15:00,Friday,Roseanne,Normal,0
2643,2,Activity AE,1/1/1970 15:00,Monday,Keven,Normal,0
3444,5,Activity O,1/1/1970 15:00,Wednesday,Iluminada,Normal,0
8972,6,Activity B,1/1/1970 15:00,Monday,Hugo,Insert,1
5235,6,Activity B,1/1/1970 15:00,Thursday,Anna,Normal,0
5304,4,Activity O,1/1/1970 16:00,Tuesday,James,Normal,0
2746,3,Activity AA,1/1/1970 16:00,Thursday,Craig,Normal,0
8301,2,Activity AE,1/1/1970 16:00,Monday,Issac,Normal,0
1817,4,Activity B,1/1/1970 16:00,Friday,Roseanne,Normal,0
4198,3,Activity AF,1/1/1970 16:00,Wednesday,Vickie,Normal,0
1218,2,Activity P,1/1/1970 16:00,Friday,Junior,Normal,0
357,5,Activity O,1/1/1970 16:00,Wednesday,Sherell,Normal,0
5914,4,Activity B,1/1/1970 16:00,Thursday,Sonia,Normal,0
6099,3,Activity D,1/1/1970 16:00,Tuesday,Sigrid,Late,1
1841,3,Activity D,1/1/1970 17:00,Tuesday,Hoyt,Attribute,1
3444,6,Activity B,1/1/1970 17:00,Thursday,Sherlene,Normal,0
3159,4,Activity O,1/1/1970 17:00,Friday,Junior,Normal,0
5235,7,Activity Z,1/1/1970 17:00,Thursday,Velda,Rework,1
2471,2,Activity AE,1/1/1970 17:00,Monday,Keven,Normal,0
2643,3,Activity AF,1/1/1970 17:00,Wednesday,Vickie,Normal,0
6814,1,Activity N,1/1/1970 17:00,Monday,Della,Normal,0
2136,0,Activity A,1/1/1970 17:00,Monday,Michaele,Normal,0
7001,1,Activity C,1/1/1970 17:00,Thursday,Ronald,Normal,0
357,6,Activity B,1/1/1970 18:00,Friday,Craig,Normal,0
1627,0,Activity A,1/1/1970 18:00,Wednesday,Michaele,Normal,0
1218,3,Activity Q,1/1/1970 18:00,Tuesday,Rossie,Normal,0
5304,5,Activity B,1/1/1970 18:00,Thursday,Alyce,Normal,0
4198,4,Activity O,1/1/1970 18:00,Friday,Junior,Normal,0
8301,3,Activity AF,1/1/1970 18:00,Friday,Vickie,Normal,0
8743,0,Activity A,1/1/1970 18:00,Wednesday,Michaele,Normal,0
6099,4,Activity B,1/1/1970 18:00,Monday,Ronald,Late,1
2746,4,Activity Z,1/1/1970 18:00,Thursday,Carmella,Normal,0
2643,4,Activity O,1/1/1970 19:00,Friday,Iluminada,Normal,0
3159,5,Activity B,1/1/1970 19:00,Tuesday,Roseanne,Normal,0
9500,0,Activity A,1/1/1970 19:00,Monday,Michaele,Normal,0
1841,4,Activity B,1/1/1970 19:00,Wednesday,Anna,Attribute,1
5235,8,Activity O,1/1/1970 19:00,Tuesday,Hugo,Rework,1
7001,2,Activity L,1/1/1970 19:00,Monday,Craig,Normal,0
6814,2,Random activity 10,1/1/1970 19:00,Random day 3,Random user 41,Insert,1
1638,0,Activity A,1/1/1970 19:00,Wednesday,Gema,Normal,0
2471,3,Activity AF,1/1/1970 19:00,Thursday,Vickie,Normal,0
2136,1,Activity N,1/1/1970 19:00,Thursday,Doretta,Normal,0
1627,1,Activity N,1/1/1970 20:00,Monday,Marilyn,Normal,0
2746,5,Activity O,1/1/1970 20:00,Tuesday,Lannie,Normal,0
1218,4,Activity O,1/1/1970 20:00,Tuesday,Lannie,Normal,0
8301,4,Activity O,1/1/1970 20:00,Friday,Iluminada,Normal,0
9038,0,Activity A,1/1/1970 20:00,Wednesday,Gema,Normal,0
4198,5,Activity B,1/1/1970 20:00,Tuesday,Roseanne,Normal,0
8743,1,Activity N,1/1/1970 20:00,Thursday,Lucy,Normal,0
2471,4,Activity O,1/1/1970 21:00,Wednesday,Iluminada,Normal,0
2136,2,Activity Y,1/1/1970 21:00,Friday,Pam,Normal,0
5235,9,Activity B,1/1/1970 21:00,Thursday,Anna,Rework,1
2643,5,Activity B,1/1/1970 21:00,Friday,Roseanne,Normal,0
9500,1,Activity N,1/1/1970 21:00,Monday,Shandi,Normal,0
6814,3,Activity AG,1/1/1970 21:00,Thursday,Alpha,Insert,1
1638,1,Activity C,1/1/1970 21:00,Friday,Brian,Normal,0
7001,3,Activity D,1/1/1970 21:00,Friday,Frances,Normal,0
166,0,Activity A,1/1/1970 21:00,Monday,Michaele,Normal,0
8301,5,Activity B,1/1/1970 22:00,Friday,Roseanne,Normal,0
894,0,Activity A,1/1/1970 22:00,Monday,Michaele,Normal,0
2746,6,Activity B,1/1/1970 22:00,Thursday,Sherlene,Normal,0
1218,5,Activity B,1/1/1970 22:00,Thursday,Sherlene,Normal,0
8743,2,Activity AE,1/1/1970 22:00,Monday,Keven,Normal,0
1627,2,Activity AE,1/1/1970 22:00,Monday,Keven,Normal,0
9038,1,Activity C,1/1/1970 22:00,Tuesday,Della,Normal,0
1638,2,Activity K,1/1/1970 23:00,Tuesday,Emily,Normal,0
2471,5,Activity B,1/1/1970 23:00,Thursday,Sherlene,Normal,0
7001,4,Activity B,1/1/1970 23:00,Wednesday,Charles,Normal,0
6814,4,Activity AH,1/1/1970 23:00,Monday,Donald,Insert,1
9500,2,Activity Y,1/1/1970 23:00,Friday,Carmella,Normal,0
166,1,Activity N,1/1/1970 23:00,Wednesday,Charles,Normal,0
2136,3,Activity AA,1/1/1970 23:00,Thursday,Craig,Normal,0
8743,3,Activity AF,1/2/1970 0:00,Wednesday,Vickie,Normal,0
9038,2,Activity K,1/2/1970 0:00,Friday,Emily,Normal,0
5514,0,Activity A,1/2/1970 0:00,Wednesday,Gema,Normal,0
1627,3,Activity AF,1/2/1970 0:00,Friday,Vickie,Normal,0
894,1,Activity N,1/2/1970 0:00,Wednesday,Shandi,Normal,0
2136,4,Activity Z,1/2/1970 1:00,Thursday,Carmella,Normal,0
166,2,Activity P,1/2/1970 1:00,Friday,Junior,Normal,0
6,0,Activity A,1/2/1970 1:00,Wednesday,Gema,Normal,0
9500,3,Activity AD,1/2/1970 1:00,Thursday,Shandi,Normal,0
6814,5,Activity O,1/2/1970 1:00,Wednesday,Earl,Insert,1
1638,3,Activity D,1/2/1970 1:00,Monday,Steve,Normal,0
9038,3,Activity D,1/2/1970 2:00,Tuesday,Hoyt,Normal,0
2622,0,Activity A,1/2/1970 2:00,Monday,Michaele,Normal,0
8743,4,Activity O,1/2/1970 2:00,Friday,Junior,Normal,0
1627,4,Activity O,1/2/1970 2:00,Thursday,Jamika,Normal,0
5514,1,Activity C,1/2/1970 2:00,Friday,Vickie,Normal,0
894,2,Activity AE,1/2/1970 2:00,Monday,Keven,Normal,0
8367,0,Activity A,1/2/1970 3:00,Monday,Michaele,Normal,0
166,3,Activity Q,1/2/1970 3:00,Monday,Clayton,Normal,0
9473,0,Activity A,1/2/1970 3:00,Wednesday,Michaele,Normal,0
9500,4,Activity Z,1/2/1970 3:00,Thursday,Velda,Normal,0
6,1,Activity C,1/2/1970 3:00,Friday,Sandra,Normal,0
1638,4,Activity B,1/2/1970 3:00,Thursday,Sonia,Normal,0
6814,6,Activity B,1/2/1970 3:00,Thursday,Alyce,Insert,1
2136,5,Activity O,1/2/1970 3:00,Thursday,Craig,Normal,0
1720,0,Activity A,1/2/1970 3:00,Monday,Michaele,Normal,0
8743,5,Activity B,1/2/1970 4:00,Thursday,Anna,Normal,0
7779,0,Activity A,1/2/1970 4:00,Monday,Michaele,Normal,0
2984,0,Activity K,1/2/1970 4:00,Monday,Emily,Late,1
9038,4,Activity B,1/2/1970 4:00,Tuesday,Roseanne,Normal,0
5514,2,Activity L,1/2/1970 4:00,Monday,Craig,Normal,0
894,3,Activity AF,1/2/1970 4:00,Wednesday,Vickie,Normal,0
2622,1,Activity N,1/2/1970 4:00,Monday,Della,Normal,0
1627,5,Activity B,1/2/1970 4:00,Thursday,Sherlene,Normal,0
7576,0,Activity A,1/2/1970 5:00,Monday,Michaele,Normal,0
1922,0,Activity A,1/2/1970 5:00,Monday,Michaele,Normal,0
2136,6,Activity B,1/2/1970 5:00,Thursday,Sherlene,Normal,0
1720,1,Activity N,1/2/1970 5:00,Monday,Della,Normal,0
635,0,Activity A,1/2/1970 5:00,Wednesday,Gema,Normal,0
9473,1,Activity N,1/2/1970 5:00,Wednesday,Shandi,Normal,0
6,2,Activity K,1/2/1970 5:00,Friday,Emily,Normal,0
8367,1,Activity N,1/2/1970 5:00,Monday,Elisha,Normal,0
9500,5,Activity O,1/2/1970 5:00,Thursday,Ling,Normal,0
166,4,Activity O,1/2/1970 5:00,Wednesday,Iluminada,Normal,0
5514,3,Activity D,1/2/1970 6:00,Tuesday,Sigrid,Normal,0
2984,1,Activity A,1/2/1970 6:00,Wednesday,Gema,Late,1
894,4,Activity O,1/2/1970 6:00,Thursday,Anna,Normal,0
7779,1,Activity N,1/2/1970 6:00,Monday,Della,Normal,0
2622,2,Activity AG,1/2/1970 6:00,Thursday,Jamika,Normal,0
9136,0,Activity A,1/2/1970 7:00,Monday,Michaele,Normal,0
635,1,Activity C,1/2/1970 7:00,Tuesday,Sandra,Normal,0
7576,1,Activity N,1/2/1970 7:00,Monday,Elisha,Normal,0
1922,1,Activity N,1/2/1970 7:00,Thursday,Doretta,Normal,0
1720,2,Activity AG,1/2/1970 7:00,Thursday,Alpha,Normal,0
9473,2,Activity AE,1/2/1970 7:00,Thursday,Issac,Normal,0
9500,6,Activity B,1/2/1970 7:00,Friday,Roy,Normal,0
9410,0,Activity A,1/2/1970 7:00,Wednesday,Gema,Normal,0
8367,2,Activity Y,1/2/1970 7:00,Friday,Michaele,Normal,0
5749,0,Activity A,1/2/1970 7:00,Wednesday,Michaele,Normal,0
6,3,Activity D,1/2/1970 7:00,Thursday,Michaele,Normal,0
166,5,Activity B,1/2/1970 7:00,Thursday,Sherlene,Normal,0
9776,0,Activity A,1/2/1970 8:00,Wednesday,Michaele,Normal,0
7779,2,Activity AG,1/2/1970 8:00,Monday,Jamika,Normal,0
2622,3,Random activity 13,1/2/1970 8:00,Random day 3,Random user 34,Insert,1
2984,2,Activity C,1/2/1970 8:00,Tuesday,Brian,Late,1
5514,4,Activity B,1/2/1970 8:00,Friday,Grayce,Normal,0
894,5,Activity B,1/2/1970 8:00,Friday,Roseanne,Normal,0
9410,1,Activity C,1/2/1970 9:00,Tuesday,Brian,Normal,0
8367,3,Activity AA,1/2/1970 9:00,Thursday,Craig,Normal,0
635,2,Activity K,1/2/1970 9:00,Friday,Emily,Normal,0
7576,2,Activity Y,1/2/1970 9:00,Monday,Alpha,Normal,0
9136,1,Activity N,1/2/1970 9:00,Wednesday,Sigrid,Normal,0
1922,2,Activity Y,1/2/1970 9:00,Friday,Pam,Normal,0
5749,1,Activity N,1/2/1970 9:00,Wednesday,Charles,Normal,0
1720,3,Activity AH,1/2/1970 9:00,Monday,Donald,Normal,0
6,4,Activity B,1/2/1970 9:00,Tuesday,Roseanne,Normal,0
5009,0,Activity A,1/2/1970 9:00,Wednesday,Gema,Normal,0
9473,3,Activity AF,1/2/1970 9:00,Wednesday,Vickie,Normal,0
4027,0,Activity A,1/2/1970 9:00,Monday,Michaele,Normal,0
7779,3,Activity AH,1/2/1970 10:00,Monday,Donald,Normal,0
3147,0,Activity A,1/2/1970 10:00,Wednesday,Michaele,Normal,0
2984,3,Activity D,1/2/1970 10:00,Monday,Steve,Late,1
9776,1,Activity R,1/2/1970 10:00,Wednesday,Seth,Early,1
6966,0,Activity A,1/2/1970 10:00,Monday,Michaele,Normal,0
4393,0,Activity A,1/2/1970 10:00,Monday,Michaele,Normal,0
2622,4,Activity AH,1/2/1970 10:00,Monday,Donald,Insert,1
9181,0,Activity A,1/2/1970 11:00,Wednesday,Gema,Normal,0
4027,1,Activity N,1/2/1970 11:00,Wednesday,Charles,Normal,0
5749,2,Activity P,1/2/1970 11:00,Wednesday,Ling,Normal,0
5009,1,Activity C,1/2/1970 11:00,Thursday,Ronald,Normal,0
7576,3,Activity AA,1/2/1970 11:00,Monday,Craig,Normal,0
9473,4,Activity O,1/2/1970 11:00,Thursday,Craig,Normal,0
9136,2,Activity AG,1/2/1970 11:00,Friday,Alpha,Normal,0
635,3,Activity D,1/2/1970 11:00,Tuesday,Hoyt,Normal,0
1922,3,Activity AA,1/2/1970 11:00,Monday,Craig,Normal,0
1720,4,Activity O,1/2/1970 11:00,Wednesday,Earl,Normal,0
8367,4,Activity Z,1/2/1970 11:00,Thursday,Jack,Normal,0
9410,2,Activity K,1/2/1970 11:00,Friday,Emily,Normal,0
1133,0,Activity A,1/2/1970 11:00,Monday,Michaele,Normal,0
2622,5,Activity O,1/2/1970 12:00,Tuesday,James,Insert,1
2984,4,Activity B,1/2/1970 12:00,Friday,Craig,Late,1
3147,1,Activity N,1/2/1970 12:00,Monday,Della,Normal,0
9776,2,Activity N,1/2/1970 12:00,Friday,Michaele,Early,1
6966,1,Activity N,1/2/1970 12:00,Friday,Michaele,Normal,0
7779,4,Activity O,1/2/1970 12:00,Tuesday,James,Normal,0
4393,1,Activity N,1/2/1970 12:00,Monday,Della,Normal,0
635,4,Activity B,1/2/1970 13:00,Thursday,Anna,Normal,0
9136,3,Activity AH,1/2/1970 13:00,Monday,Donald,Normal,0
7493,0,Activity A,1/2/1970 13:00,Wednesday,Gema,Normal,0
1720,5,Activity B,1/2/1970 13:00,Monday,Hugo,Normal,0
8367,5,Activity O,1/2/1970 13:00,Friday,Junior,Normal,0
9181,1,Activity C,1/2/1970 13:00,Wednesday,Ronald,Normal,0
9473,5,Activity B,1/2/1970 13:00,Thursday,Sherlene,Normal,0
9410,3,Activity D,1/2/1970 13:00,Thursday,Michaele,Normal,0
1133,1,Activity N,1/2/1970 13:00,Monday,Della,Normal,0
4027,2,Activity P,1/2/1970 13:00,Friday,Junior,Normal,0
5009,2,Activity L,1/2/1970 13:00,Monday,Craig,Normal,0
5749,3,Activity Q,1/2/1970 13:00,Monday,Clayton,Normal,0
1922,4,Activity Z,1/2/1970 13:00,Thursday,Elisha,Normal,0
7576,4,Activity Z,1/2/1970 13:00,Monday,Carmella,Normal,0
1430,0,Activity A,1/2/1970 13:00,Monday,Michaele,Normal,0
3587,0,Activity A,1/2/1970 13:00,Monday,Michaele,Normal,0
2622,6,Activity B,1/2/1970 14:00,Friday,Roseanne,Insert,1
9776,3,Activity T,1/2/1970 14:00,Thursday,Junior,Early,1
7779,5,Activity B,1/2/1970 14:00,Monday,Jack,Normal,0
3147,2,Activity AG,1/2/1970 14:00,Monday,Alpha,Normal,0
1262,0,Random activity 28,1/2/1970 14:00,Random day 4,Random user 37,Insert,1
4443,0,Activity A,1/2/1970 14:00,Monday,Michaele,Normal,0
6966,2,Activity R,1/2/1970 14:00,Friday,Donald,Normal,0
9551,0,Activity A,1/2/1970 14:00,Monday,Michaele,Normal,0
1976,0,Activity A,1/2/1970 14:00,Wednesday,Michaele,Normal,0
4393,2,Activity AG,1/2/1970 14:00,Friday,Alpha,Normal,0
4027,3,Activity Q,1/2/1970 15:00,Monday,Carmella,Normal,0
1922,5,Activity O,1/2/1970 15:00,Tuesday,Lannie,Normal,0
7493,1,Activity C,1/2/1970 15:00,Thursday,Ronald,Normal,0
1430,1,Activity N,1/2/1970 15:00,Friday,Marilyn,Normal,0
9136,4,Activity O,1/2/1970 15:00,Wednesday,Earl,Normal,0
729,0,Activity A,1/2/1970 15:00,Wednesday,Gema,Normal,0
5009,3,Activity D,1/2/1970 15:00,Friday,Frances,Normal,0
7576,5,Activity O,1/2/1970 15:00,Tuesday,Hannah,Normal,0
3587,1,Activity N,1/2/1970 15:00,Wednesday,Lucy,Normal,0
5749,4,Activity O,1/2/1970 15:00,Thursday,Anna,Normal,0
1133,2,Activity AG,1/2/1970 15:00,Monday,Alpha,Normal,0
9410,4,Activity B,1/2/1970 15:00,Tuesday,Roseanne,Normal,0
8367,6,Activity B,1/2/1970 15:00,Tuesday,Roseanne,Normal,0
9181,2,Activity M,1/2/1970 15:00,Tuesday,Melany,Normal,0
7889,0,Activity A,1/2/1970 15:00,Monday,Michaele,Normal,0
4443,1,Activity N,1/2/1970 16:00,Monday,Elisha,Normal,0
9551,1,Activity N,1/2/1970 16:00,Monday,Della,Normal,0
1976,1,Activity N,1/2/1970 16:00,Friday,Rossie,Normal,0
3616,0,Activity A,1/2/1970 16:00,Monday,Michaele,Normal,0
8872,0,Activity A,1/2/1970 16:00,Monday,Michaele,Normal,0
8674,0,Activity A,1/2/1970 16:00,Monday,Michaele,Normal,0
6966,3,Activity T,1/2/1970 16:00,Friday,Junior,Normal,0
4393,3,Activity AH,1/2/1970 16:00,Thursday,Donald,Normal,0
9776,4,Activity S,1/2/1970 16:00,Thursday,Craig,Early,1
2551,0,Activity A,1/2/1970 16:00,Wednesday,Michaele,Normal,0
1262,1,Activity A,1/2/1970 16:00,Wednesday,Gema,Insert,1
3147,3,Activity AH,1/2/1970 16:00,Friday,Donald,Normal,0
1133,3,Activity AH,1/2/1970 17:00,Thursday,Donald,Normal,0
7889,1,Activity N,1/2/1970 17:00,Wednesday,Shandi,Normal,0
1922,6,Activity B,1/2/1970 17:00,Thursday,Sherlene,Normal,0
4027,4,Activity O,1/2/1970 17:00,Friday,Junior,Normal,0
7576,6,Activity B,1/2/1970 17:00,Thursday,Anna,Normal,0
5749,5,Activity B,1/2/1970 17:00,Thursday,Alyce,Normal,0
9136,5,Activity B,1/2/1970 17:00,Monday,Hugo,Normal,0
3587,2,Activity AE,1/2/1970 17:00,Monday,Issac,Normal,0
7493,2,Activity M,1/2/1970 17:00,Tuesday,Howard,Normal,0
9181,3,Activity D,1/2/1970 17:00,Friday,Frances,Normal,0
1430,2,Activity AE,1/2/1970 17:00,Monday,Keven,Normal,0
729,1,Activity C,1/2/1970 17:00,Thursday,Ronald,Normal,0
5009,4,Activity B,1/2/1970 17:00,Thursday,Keven,Normal,0
8674,1,Activity N,1/2/1970 18:00,Monday,Della,Normal,0
3616,1,Activity N,1/2/1970 18:00,Wednesday,Charles,Normal,0
3147,4,Activity O,1/2/1970 18:00,Tuesday,Craig,Normal,0
4443,2,Activity Y,1/2/1970 18:00,Friday,Micheline,Normal,0
4393,4,Activity O,1/2/1970 18:00,Tuesday,James,Normal,0
8872,1,Activity N,1/2/1970 18:00,Monday,Amanda,Normal,0
9551,2,Activity AG,1/2/1970 18:00,Friday,Earl,Normal,0
1262,2,Random activity 7,1/2/1970 18:00,Random day 3,Random user 12,Insert,1
1976,2,Activity AE,1/2/1970 18:00,Monday,Keven,Normal,0
9776,5,Activity O,1/2/1970 18:00,Thursday,Amanda,Early,1
6966,4,Activity S,1/2/1970 18:00,Tuesday,Issac,Normal,0
2551,1,Activity N,1/2/1970 18:00,Wednesday,Shandi,Normal,0
3587,3,Activity AF,1/2/1970 19:00,Friday,Vickie,Normal,0
9181,4,Activity B,1/2/1970 19:00,Friday,Roy,Normal,0
8341,0,Activity A,1/2/1970 19:00,Monday,Michaele,Normal,0
1430,3,Activity AF,1/2/1970 19:00,Wednesday,Vickie,Normal,0
5147,0,Activity A,1/2/1970 19:00,Monday,Michaele,Normal,0
729,2,Activity L,1/2/1970 19:00,Monday,Craig,Normal,0
4027,5,Activity B,1/2/1970 19:00,Tuesday,Roseanne,Normal,0
1133,4,Activity O,1/2/1970 19:00,Tuesday,Craig,Normal,0
7889,2,Activity AE,1/2/1970 19:00,Thursday,Issac,Normal,0
7493,3,Activity D,1/2/1970 19:00,Thursday,Michaele,Normal,0
8872,2,Activity AE,1/2/1970 20:00,Monday,Keven,Normal,0
8674,2,Activity AG,1/2/1970 20:00,Friday,Alpha,Normal,0
1262,3,Activity C,1/2/1970 20:00,Thursday,Ronald,Insert,1
9776,6,Activity B,1/2/1970 20:00,Monday,Hugo,Early,1
3147,5,Activity B,1/2/1970 20:00,Monday,Hugo,Normal,0
3616,2,Activity P,1/2/1970 20:00,Friday,Junior,Normal,0
4140,0,Activity A,1/2/1970 20:00,Wednesday,Gema,Normal,0
1976,3,Activity AF,1/2/1970 20:00,Monday,Vickie,Normal,0
9579,0,Activity A,1/2/1970 20:00,Monday,Michaele,Normal,0
1007,0,Activity A,1/2/1970 20:00,Monday,Michaele,Normal,0
737,0,Activity A,1/2/1970 20:00,Monday,Michaele,Normal,0
